СокращенноеНаименование;ПолноеНаименование;Специализация;ПрофильныйПредмет;ФормаОбучения;УровеньПодготовки;ОснованиеПоступления;ОсобенностиПриема;Факультет;КоличествоМест;Зачислено
АТП_заочн_бюдж;15.03.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;18;0
АТП_заочн_льгот;15.03.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Заочная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;2;0
АТП_заочн_плат;15.03.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;15;0
АТП_очн_бюдж;15.03.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;14;14
АТП_очн_льгот;15.03.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Очная;Академический бакалавр;Бюджетная основа;Общие места;Учебно-научный технологический институт;0;0
АТП_очн_плат;15.03.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;5;0
АТП_очн_целевое;15.03.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Очная;Академический бакалавр;Целевой прием;Целевые места;Учебно-научный технологический институт;5;5
АТПиП мг веч платн;15.04.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Очно-заочная;Магистр;Полное возмещение затрат;Общие места;Учебно-научный технологический институт;7;0
АТПиП мг очн бюдж;15.04.04. Автоматизация технологических процессов и производств;<NULL>;Физика;Очная;Магистр;Бюджетная основа;Общие места;Учебно-научный технологический институт;9;9
БИ_заочн_плат;38.03.05. Бизнес-информатика;Электронный бизнес;Обществознание;Заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;30;0
БИ_очн_плат;38.03.05. Бизнес-информатика;Электронный бизнес;Обществознание;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет экономики и управления;20;0
ИАСБ_очн_бюдж;10.05.04. Информационно-аналитические системы безопасности;Автоматизация информационно-аналитической деятельности;Информатика и ИКТ;Очная;Специалист;Бюджетная основа;Общие места;Факультет информационных технологий;20;20
ИАСБ_очн_льгот;10.05.04. Информационно-аналитические системы безопасности;Автоматизация информационно-аналитической деятельности;Информатика и ИКТ;Очная;Специалист;Бюджетная основа;Общие места;Факультет информационных технологий;2;2
ИАСБ_очн_плат;10.05.04. Информационно-аналитические системы безопасности;Автоматизация информационно-аналитической деятельности;Информатика и ИКТ;Очная;Специалист;Полное возмещение затрат;Общие места;Факультет информационных технологий;3;0
ИБ мг веч платн;10.04.01. Информационная безопасность;Организация и технология защиты информации;Информатика и ИКТ;Очно-заочная;Магистр;Полное возмещение затрат;Общие места;Факультет информационных технологий;10;0
ИБ мг очн платн;10.04.01. Информационная безопасность;Организация и технология защиты информации;Информатика и ИКТ;Очная;Магистр;Полное возмещение затрат;Общие места;Факультет информационных технологий;5;0
ИБ_веч_платн;10.03.01. Информационная безопасность;Организация и технология защиты информации (по отрасли или в сфере профессиональной деятельности);Информатика и ИКТ;Очно-заочная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;20;0
ИБ_очн_бюдж;10.03.01. Информационная безопасность;Организация и технология защиты информации (по отрасли или в сфере профессиональной деятельности);Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;20;20
ИБ_очн_льгот;10.03.01. Информационная безопасность;Организация и технология защиты информации (по отрасли или в сфере профессиональной деятельности);Информатика и ИКТ;Очная;Академический бакалавр;Бюджетная основа;Общие места;Факультет информационных технологий;2;2
ИБ_очн_плат;10.03.01. Информационная безопасность;Организация и технология защиты информации (по отрасли или в сфере профессиональной деятельности);Информатика и ИКТ;Очная;Академический бакалавр;Полное возмещение затрат;Общие места;Факультет информационных технологий;3;0
ИБАС_очн_бюдж;10.05.03. Информационная безопасность автоматизированных систем;Безопасность открытых информационных систем;Информатика и ИКТ;Очная;Специалист;Бюджетная основа;Общие места;Факультет информационных технологий;25;25
ИБАС_очн_льгот;10.05.03. Информационная безопасность автоматизированных систем;Безопасность открытых информационных систем;Информатика и ИКТ;Очная;Специалист;Бюджетная основа;Общие места;Факультет информационных технологий;0;0
ИБАС_очн_плат;10.05.03. Информационная безопасность автоматизированных систем;Безопасность открытых информационных систем;Информатика и ИКТ;Очная;Специалист;Полное возмещение затрат;Общие места;Факультет информационных технологий;5;0
